"","transport","."
"96","voi","Useriøst og ustabilt produkt!                                                    Første gang et VOI løbehjul skulle prøves, måtte kæresten og jeg igennem 8 markerede steder. Et sted var produktet ikke tilgængelig (sikkert gemt af bruger, ikke voi skyld) andre 7 var enten med lavt batteri eller ude af drift. De figurerer bare stadigvæk på kortet.I går samme historie! 1 ud af 4 var ikke til at finde, og restende 3 var ude af drift!Super super useriøst og ustabilt produkt. Sjovt i brug, men ikke et middel man kan planlægge efter at bruge. Måtte ty til taxi og metro tilsidst."
"97","voi","Virker ikke!!                                                    Som andre også skriver virker 9/10 🛴 ikke. 🤥Så hver gang du forsøger med en ny, bruger du lige 10-15kr. 😬Har fået lovning på en refund for mere end en måned siden, men pengene kommer aldrig. 🤫Når man rykker for man det samme standard svar hver gang. De skriver man skal kontakte sin bank, da banken har bedre indsigt i ens konto 🤔"
"98","voi","Pas på!!                                                    Pas på!!! 13 kr for 1 min pga defekt løbehjul. Og pengene er væk. VOI burde lukkes i Danmark."
"99","voi","Forfærdeligt dårlig service                                                    Forfærdeligt dårlig service, går i 15 min og finder lortt og så er det reserveret af en anden hvorfor viser det ikke på app'en at det er reserveret? Plus at halvdelen af Løbehjulene ikke starter når man stater turen. Til alle brugere brug TIER istedet det virker Hver gang"
"100","voi","9/10 scooters virker ikke                                                    9/10 scooters virker ikke, men de refundere dig ikke efterfølgende. Så du betaler min. 10 kr for at rapportere et system på det. Sådan kan man selvfølgelig tjene penge på sine fejl....."
"101","voi","Fjern det her skidt fra gaderne                                                    Fjern det her skidt fra gaderne. Både privat og på min arbejdsplads skal vi konstant fjerne de her løbehjul fordi folk stiller dem lige ! der hvor de ikke gider at bruge dem længere. Tænk hvis alle andre udlejningsfirmaer gjorde som VOI ? Så havde vi trailere, diverse erhvervskøretøjer, segways, større el-redskaber på hjul og meget andet stående overalt. Jeg fjerner ofte løbehjulene, og det foregår på en bestemt måde. Håber ikke de tager alt for meget skade."
"102","voi","5 timer spildt i Frankrig.                                                    Løbehjulet er et rigtig godt koncept, men det fungerer bare ikke som det skal.Jeg har været på tur med en stor folk, hvor halvdelen af os besluttede, at vi ville køre på VOI's til vores destination. Vi havde kørt på dem før, hvor der ikke havde været det mindste problem.Vi begynder så at lede, da der står en masse i nærheden ifølge appen. Mmh, det gjorde der bare slet ikke. Nå, vi finder allesammen et. To af de andres stopper med at køre lige pludselig, så de skal finde nye. Det trak selvfølgelig penge fra vores andres løbehjul.Så kommer vi til vores destination, og slukker for dem. Alle får en bon inde på appen og ruten ligger i historik, men det løbehjul jeg kørte på var stadig tændt. Vi prøvede alt muligt. De andre prøvede at logge på, men så sagde den lavt batteri, selvom det altså næsten var fuldt ladt op. Men det kunne køre. Man kunne bare stige op og køre på det. Jeg prøver at slette kortinfo, logger ud og endda sletter min profil, men det virker ikke. Jeg kontakter så service og får hurtigt en mail tilbage om, at jeg bare skulle sende min mail, så kunne hun slukke. Det gør jeg, men får så at vide at det ikke er den mail. Jeg skriver til hende, at det er det 100% og så får jeg ikke et svar tilbage. Til sidst, da vi havde siddet i 5 timer ved det, valgte vi at forlade det. Jeg får så en mail et par timer senere om, at nu har de slukket for det - og at det var den rigtige mail 😴"
"103","voi","90% af dem virker ikke og de tager…                                                    90% af dem virker ikke og de tager penge for en tur med et defekt løbehjul, de lovede så at de ville tilbagebetale beløbet for de defekte ture jeg har  været på men har aldrig set skyggen af penge. Hold jer væk fra det L.O.R.T og tag en bycykel de koster også kun 15 kr i timen."
"104","voi","Aldrig en vellykket tur...                                                    Første gang jeg benyttede Voi, virkede løbehjulet ikke efter at jeg havde startet det. Jeg kontaktede Voi for at få mine penge retur, da den lovede service aldrig var blevet leveret til mig - og det tog dem lidt tid, før de indvilligede i at refundere pengene (pengene har jeg dog endnu ikke set skyggen af) Alle andre gange jeg har forsøgt at bruge Voi, har løbehjulet enten ikke været der (selvom det var på GPS’en i app’en) eller også har det slet ikke kunnet starte, efter at man har ledt efter det. Altså har jeg kun spildt tid og penge på Voi. Det hjælper ikke at de giver mig gratis credits, når der ikke er noget løbehjul jeg kan benytte dem med."
"105","voi","Hej har samme oplevelse som mange af…                                                    Hej har samme oplevelse som mange af jer, altså hvor man ikke kan afslutte turen. Nogle der kan fortælle mig hvad der er sket efterfølgende, angående penge og sådan. Tak på forhånd!"
"106","voi","SKOD APP                                                    SKOD APP! Løbehjulene står ikke, hvor de bliver vist. Ofte virker de ikke, når man endelig finder dem. Elendigt koncept..."
"107","voi","godt koncept men dårlig app !!                                                    godt koncept men dårlig app !!! løbehjulene står ik der hvor der står de er, mange af dem virker ikke og problemer med at afslutte turen !!! rigtig rigtig dårlig service. Mangler en kundeservice man kan ringe til når man står i situationen"
"108","voi","Endte med 3A - det er mere stabilt!                                                    Mødte 5 på min vej med strøm, men der var fejl på dem allesammen. Efter at have gået 2 km uden succes på nogle af dem på min vej gav jeg op og tog bussen. DET ved man da hvad er! Og er blevet 35 kr fattigere. Tak for ingenting VOI!"
"109","voi","ARBEJDE IKKE MED VOI SCOOTERS                                                    ARBEJDE IKKE MED VOI SCOOTERSMin dårlig oplevelse med VOI Scooters har ikke noget at gøre med brug af deres produkter men med sammenarbejde med firmaet. Jeg har arbejdet for VOI Scooters en hele måned hvor jeg fik opladet deres løbehjul osv. Nu snart 2 måneder efter har jeg ikke fået mine penge. Efter flere emails frem og tilbage bliver de ved med at sige at pengene kommer næste mandag, næste torsdag, næste fredag, at der var fejl i noget, og så var der fejl i noget andet men pengene får jeg aldrig. Nu er der over 2 måneder og jeg ser ikke frem til at få mine penge så jeg anbefaler jer at holde jer væk fra dette selskab"
"110","voi","Kan ikke anbefales!!                                                    Kan ikke anbefales!!Vil prøve deres løbehjul for første gang i dag, som var en meget dårlig oplevelse. Det første løbehjul gad ikke kører mere efter 1,5 km, så jeg måtte på jagt efter et nyt. Jeg finder så nr. 2 løbehjul, som jeg unlocker, men selvfølgelig vil det ikke køre. Jeg slutter min tur og prøver derfor igen, hvor det heller ikke vil kører. 25 kr. ud af vinduet"
"111","voi","BRUG ALDRIG DERES LØBEHJUL!!!                                                    BRUG ALDRIG DERES LØBEHJUL!!!SKOD app , MØG løbehjul og ikke eksisterende “kundeservice”. Man kan kun maile til dem - rigtig flot når man står i den situation at det gerne vil unlocke men ikke kører og derefter ikke locke igen.... Man skal virkelig beherske sig for ikke at kaste L O R T E T  af H til !! Afventer svar på mail fra dem og håber virkelig for dem at de skynder sig med svar og derefter enten fjerner alle løbehjul fra gaden eller fixer fejlene !"
"112","voi","Lidt problemer, men det endte godt!                                                    Ingen problemer med at låse op og super sjov at køre på. Der var desværre problemer med afslutte turen på den ene scooter. Vi prøvede alle deres råd og ente med at skrive til deres kundeservice og forlade scooteren. De svarer efter 1 1/2 time og jeg fik alt det jeg havde betalt for meget tilbage, så selv om det var lidt irriterende, så endte det godt."
"113","voi","Scooteren vil ikke “ end ride”                                                    Unlocked en scooter, der ikke vil køre, prøvede at unlocke og set vil den simpelthen ikke. Har skrevet til deres support og de svare ikke. Prøvede at fjerne appen, slukke telefonen og kickstarte scooteren, INTET VIRKER. Så nu står den bare og tæller derud af. Det nægter jeg at betale for!"
"114","voi","Elendig service                                                    Elendig service - fik et løbehjul der ikke virkede, og da jeg så ville låse det kunne jeg ikke låse. Jeg skrev derefter til deres håbløse kundeservice som man kun maile til, og har stadig efter næsten et døgn endnu ikke fået svar"
"115","voi","Fin idé, elendig pengeslugende app!                                                    Da jeg unlockede en scooter for første gang, fortalte app’en mig at den ikke kunne unlockes, på trods af at den alligevel unlockede(?). Fint, jeg stiller mig på skidtet, kickstarter 3 gange som man skal og trykker på speederen. Den virker ikke. Jeg stiller den tilbage igen samme sted som jeg fandt den, og prøvede at “locke” den igen. Det ville app’en ikke. Har prøvet alle deres tricks i guiden, men den vil ikke låse! Så nu står den og tikker derudaf - og jeg kan IKKE få svar fra deres support. Heller ikke her 2 timer efter jeg har skrevet! Har skrevet og sendt billeder, men INTET svar! Spændende at se hvor stor regningen bliver som jeg dog ALDRIG kommer til at betale, og hvis jeg gør, ryger de direkte i medierne!"
"116","voi","sjov ide men dårlig service                                                    Det er lidt 50 / 50 om man kan starte løbehjulet op. sidst jeg kørte virkede det slet ikke og man kan ikke trykke på ""meld fejl"" så siger den at det ikke er muligt lige pt. Man kan ikke få kontakt til nogen form fir kundeservice.dog er de skide sjove at kørre på når de virkerNår man ringer til deres ""kundeservice nummer"" så tager en tilfældig mand telefon og spørger mig im det har noget med de der ""VOI Scooters"" at gøre, fordi det hvade han intet at gøre med."
"117","voi","Iorte Voi løbehjul                                                    Skide sjovt indtil man skal logge ud og ikke kan logge ud af det fordi appen er en fuckin Iorte app. Stod i den situation at de stjal alle mine penge, fordi den ikke lod mig logge ud. Efter 1000 forsøg af alle slags metoder, valgte jeg at give op og smide det klamme Iorte løbehjul i vandet ved Nyhavn. Held og lykke med at finde det Iorte. Forlanger alle pengen igen"
"118","tier","Meget dårligt                                                    Meget dårligt Kan ikke anbefale... da den ud af det blå begyndte at kører laaangsomt. da det åbenbart er en foretningsvej....det for dårligt.... den kørt 5 km og det ingenting... og jeg kunne ikke parkere eller noget... pengene de løb bare det er ikke fair og det er for dårligt. Kan dog anbefale VOI har ikke problemer med dem"
"119","tier","Fik trukket 540kr på en dag da den blev…                                                    Fik trukket 540kr på en dag da den blev ved at melde jeg havde stillet løbehjulet i en forkert zone, det var på pause mens jeg handlede men loggede sig selv ud og endte med at få trukket 540kr. Fy for"
"120","tier","jeg har fået trukket penge fra TIER i…                                                    jeg har fået trukket penge fra TIER i dag, og jeg har ikke kørt med deres løbehjul i et par måneder?"
"121","tier","Skod app og de snyder folk for penge…                                                    Skod app og de snyder folk for penge !!!  Har brugt så mange penge på dem . Lad os boycotte dem allesammen da de hverken svarer på mail eller tilbagebetaler ens penge efter så lang tid :( De får 0 stjerner herfra !"
"122","tier","Kun Tier kræver 50 kroner                                                    Kun Tier kræver 50 kroner, hvis du stopper turen et sted de ikke kan lide. Jeg kører kun VOI fra nu af, har slettet appen og kommer aldrig tilbage. 50 kroner oven på en 10 kroners tur.... Tier er kun til indre by. Voi og Lime er over det hele."
"123","tier","Nu har i endnu engang placeret jeres…                                                    Nu har i endnu engang placeret jeres løbehjul hvor min pølsevogn skal stå.. næste gang det sker bliver de fjernet helt......."
"124","tier","Dårlig og uprofessionel kunde service…                                                    Dårlig og uprofessionel kunde service er trukket alt for meget - 3 gange beløbet som de kan se på min konto og jeg har skrevet 5 gange og de sætter ikke resten ind . De læser ikke hvad man skriver til dem svarer bare det samme hver gang med dårlig dansk !"
"125","tier","Jeg kan desværre ikke give 0 stjerner                                                    Jeg kan desværre ikke give 0 stjerner! Da jeg kommer til Odense banegård finder jeg et Tier løbehjul. Plejer at bruge dem fra Voi, hvor der intet problem er.Jeg kører så mod den destination som jeg skal for at den pludselig stopper. Jeg er åbenbart uden for forretningsområde! Det var sjovt nok ikke noget problem at køre halvt langt ud for deres forretningsområde. Jeg kan heller ikke stoppe turen, og må derefter gå tilbage (går ca halvvejes tilbage!). Den vil stadig ikke stoppe turen og påstår stadig jeg er uden for område, selvom min GPS på telefonen siger noget andet. Løbehjulet viser uden for, men ikke MIN lokation. Jeg ringer derind imens turen bare tikker videre og han siger jeg skal gå tilbage, hvor jeg på grebokkent engelsk må forklare ham at jeg er gået halvvejs tilbage, og at der endda står andre af deres løbehjul ved siden af mig! Han slår den så fra - men 90 kr?! BÅDE TAXA OG BUS HAVDE VÆRET BILLIGERE. Kan fremover kun anbefale VOI."
"126","tier","For elvede hvor er det bondefangeri                                                    For søren hvor er det bondefangeri. Nu har jeg prøvet deres løbehjul 2 x og begge gange var der ikke batteri på, og ydermere kan man ikke logge ud igen da den bliver ved med at sige at man er ude for deres område. Så jeg har måtte gå tilbage begge gange og aflevere det. Det er sørme ikke i orden. Aldrig igen skal de bruges. Så spar jer selv for de penge!!!!!"
"127","tier","0 stjerner                                                    Jeg ville gerne give den nul stjerner. Jeg prøvede at aktivere tre løbehjul udenfor vores hotel. Ingen af dem virkede. Men hver gang trækkes man minimum 10kr. Fair de er i stykker. Men så bør de ikke kunne bookes."
"128","tier","Dårlig service, dårlige løbehjul                                                    Efter en tur på ca 15 min kan jeg ikke koble fra løbehjulet. Efter det endelig ser ud til, at jeg har koblet fra og løbehjulet er slukket får jeg en regning for 130 minutters kørsel på 280 kr. Jeg har skrevet en mail, som de efter 1,5 uge ikke har svaret på. Jeg har ringet ind til deres kundeservice, som heller ikke virker. Af de tre grunde giver jeg dem 1 stjerne, som jeg næsten synes er generøst."
"129","tier","0 stjerner herfra                                                    0 stjerner herfra! Man kunne ikke koble den fra så de ender med at trække 260 kroner! Det var dyre lærepenge. Aldrig aldrig aldrig mere! Og telefonnummeret virker Self ikke, har prøvet st skrive en mail men tvivler på de svarer. Nææ, de more sig sku nok med de 260 kroner dyre lærepenge!"
"130","tier","Når det virker er det fint                                                    Når det virker er det fint, men det er ualmindeligt ustabilt.Hvis du uden succes prøver at starte et løbehjul, vil du have et beløb reserveret på din konto pr. gang og det tager 5-10 dage før beløbet frigives."
"131","tier","Virkelig virkelig ringe!!!                                                    Virkelig virkelig ringe!!!De sidste 4 ud af 5 gange har løbehjulet enten ikke virket fra start eller gået kold undervejs.  Der bliver lystigt trukket penge, men det er umuligt at komme igennem til kundeservice.  Appen bliver slettet og absolut ikke anbefalet til andre."
"132","tier","Jeg har slet ikke nået at bruge app                                                    Jeg har slet ikke nået at bruge app. Først vil den ik acceptere ens mobil nummer så prøver man igen og man er blokkeret for 24 timer. Når man ringer til kundeservice siger de bare man ikke kan hjælpe! Dvs. der er en service ved dem!"
"133","tier","Snyde firma                                                    Har samme problem som de andre lejet et løbehjul betaler og så virker det ikke. Skod firma i burde slet ikke have lov at drive forretning den måde i snyder jeres kunder på."
"134","tier","Jeg har gentagende gange startet det op…                                                    Jeg har gentagende gange startet det op hvorefter det så ikke virker og alligevel modtager man en regning.Det var sidste gang med det her firma, der er heldigvis andre udbydere."
"135","tier","HAR ALDRIG OPLEVET RINGERE SERVICE                                                    HAR ALDRIG OPLEVET RINGERE SERVICEJeg skal leje et løbehjul og står og bruger min mors konto da jeg ikke havde egen mobil. Da damen jeg taler i telefon med spørger min alder siger jeg 16. Man må åbenbart ikke køre som 16 årig hvilket jeg ikke havde nogen idé om jeg undskylder selfølgelig mange gange og fortæller at det var jeg ikke klar over. Derefter går jeg ind på kontoen igen hvor der popper op at den er blevet lukket. Jeg ringer derefter og spørger hvordan det her kan være da det er min mors konto og hun altså er +18, det er den samme servicearbejder jeg får men hun råber ind i telefonen at det vil hun slet ikke diskutere og at den nu vil forblive lukket! Synes simpelthen det er for dårligt og står nu her med min mor som nu ikke kan bruge løbehjuls servicen længere"
"136","tier","Hvis jeg kunne                                                    Hvis jeg kunne, så fik i 0 stjerner. Prøvede at leje et løbehjul, hele 3 gang. Ingen af dem virkede og alligevel, har i trukket 20,- 3 gang. Der stod ellers der var 60% strøm på dem. Virkelig elendigt og kan ikke anbefale at leje løbehjul hos jer"
"137","tier","Måtte betale 3 gange startgebyr                                                    Først betalte jeg startgebyr for et løbehjul som ikke var der, jeg fandt så et andet og prøvede igen, og måtte betale et nyt startgebyr. Efter 200 meter ville det pludselig ikke køre videre. Jeg måtte gå 500 meter og finde et tredje løbehjul og endnu en gang betale startgebyr. Det endte med at koste næsten 100kr at køre fra Ofelia plads til Ryesgade på Nørrebro. En virkelig dårlig første oplevelse på løbehjul i kbh."
"138","tier","Løbehjulet ville ikke aktiveres før 3                                                    Løbehjulet ville ikke aktiveres før 3. hvilket havde den konsekvens at jeg betalte 2 x opstart + kr 2, da de kan se at løbehjulet ikke har kørt, er det på ingen måde rimeligt at charge kunden og kundeservice eksistere ikke, så boycot dem."
"139","tier","Dårlig app                                                    Dårlig app! du kan ikke selv rette eller slette dine oplysninger. De tager penge fra et produkt, som ikke virker og når der klages over dette, er der ikke noget at gøre.. Hold jer væk fra dette snyde firma"
"140","tier","HENT IKKE DENNE APP!!                                                    Man laver en bruger som man overhovedet IKKE kan ændre på bagefter! hverken fjerne ens kreditkort (medmindre man tilføjer et andet!?) omg.? .. eller ændre ens mail, osv osv... man kan intet!"
"141","tier","det er mega dårligt fjern produktet.                                                    det er mega dårligt fjern det produkt fra hvor gader"
"142","tier","Det er nemt at oprette sig og tilknytte…                                                    Det er nemt at oprette sig og tilknytte et kreditkort. Men derefter er det ikke muligt at slette hverken kreditkort eller konto. Bondefangeri!!!"
"143","tier","Fjern nu det skidt fra vores gader                                                    Fjern nu det skidt fra vores gader! De blokerer for gående på fortorve!"
"144","tier","Løbehjul fra ukendt bruger har nu stået…                                                    Løbehjul fra ukendt bruger har nu stået et døgn og larmet nede foran mit hjem - det er utrolig det er lovligt at køre virksomhed i danmark på den måde."
"145","tier","Pengemaskine                                                    Pengemaskine. Virker ikke det mindste. Mig og min kæreste betalte 15kr hver og det virkede slet ikke, så vi måtte gå..."
"146","tier","Kan på ingen måde anbefales!                                                    Kan på ingen måde anbefales!Jeg fik trukket penge på kortet til trods for, at jeg havde låst et defekt løbehjul op, som ikke fungerede. Men Tier vil ikke tilbagebetale, i stedet tilbød de gratis minutter, men det bliver et nej tak herfra."
"147","tier","Elendig oplevelse"
"148","tier","Ikkeeksisterende kundeservice                                                    Ikkeeksisterende kundeservice. Kan ikke få fjernet mit kort eller lukket min konto."
"149","tier","Frygteligt koncept                                                    Frygteligt koncept, som af gode grunde ikke er lovligt."
"150","tier","PAS PÅ!!!                                                    PAS PÅ!!!Jeg har kun kørt med tier en gang. Men jeg har fået 10 regninger hvor der står at jeg har brugt 150kr. I alt på tier. Heldigvis har jeg fået 85kr. Tilbage indtil videre. Ved at skrive til dem."
"151","tier","Vælg IKKE Tier !!!                                                    Vælg IKKE Tier !!!Trak 200kr fra mit kort, fordi turen ikke ville afslutte selvom jeg 100% VAR indenfor området de må holde i. Efterfølgende trak de 150kr fra mit kort, ved stadig ikke hvorfor??????  Og ingen kundeservice og ringe til?!?!?!! Har aldrig været så forbavset"
"152","tier","TIER-tur endte med spærret dankort                                                    TIER-tur der aldrig startede, endte i spærring af mit dankort!Jeg nåede kun at tilmelde mig...så “startede turen”Jeg kunne ikke afbryde turen selvom jeg fulgte anvisningerne. Når jeg så trykkede “afslut tur”, så begyndte den automatisk på en ny runde.Det resulterede i er utal af regninger på 11.50 påbegyndt minut. Da kundeservice ikke var mulig at kontakte måtte jeg til sidst få banken til at spærre mit kort...."
"153","tier","Bandit App                                                    Når man bare åbner appen, logger den automatisk på et tilfældigt løbehjul, uden ens godkendelse. Og da man ikke ved hvilket løbehjul det er, må man logge ud igen. Men den logger på et nyt med det samme. Det er virkelig skidt, at man efter at have kørt en lille tur sidder med flere regninger efterfølgende... Jeg kørte en lille tur til 20kr og fik 5 regninger, den sidste på 103 kr, for en tur jeg aldrig havde kørt!!"
"154","tier","Pas på! Svindel firma!                                                    Oplevede i går samme problem som tidligere beskrevet herinde. Ville prøve et af deres løbehjul men ende med 10 regninger af 11,5 til 15 kr stykket, fordi app hele tiden gav udtryk for at jeg havde lejet et løbehjul ved hele tiden at skrive “afslut tur”Total dårlig app! Man kan ikke slette sine kreditkortet oplysninger så man har ingen anden udvej end at spærre sit kort for at forhindre at Tier bruger det som tag-selv bord. Enten gennemtænkt bondefangerig eller total amatør agtigt"
"155","tier","ikke tillid til tier                                                    Deres app har et lækkert design, men den er ubrugelig. Jeg har to gange forsøgt at bruge tier. Første gang var løbehjulet så langsomt at jeg besluttede at gå. De 20 meter kostede 14 kr. Igår prøvede jeg igen, men appen bad mig hele tiden om at afslutte turen selv om jeg aldrig havde startet den. Det gjorde jeg så 3-4 gange og hver gang blev jeg opkrævet startgebyr. Håber de får styr på deres produkt og får refunderet alle de sure brugere. Min tillid er væk, og kan ikke en gang fjerne mit kreditkort fra appen."
"156","tier","App skriver afslut turen selv om at man…                                                    App skriver afslut turen selv om at man ikke har påbegyndt en tur. Jeg havde netop for første gang prøvet at leje et løbehjul. Da jeg stod af trykkede jeg afslut turen. Men der stod stadig afslut turen på app.så jeg trykkede igen. Og så startede den en ny tur, som jeg så afsluttede inden for 2 sekunder igen. Der blev dog ved med at stå afslut turen. Blev trukket for start gebyr og grundet den dårlige GPS dækning i byen, så der ud som om jeg havde kørt 500 meter på de 2 sekunder. Kontaktede TIER for flere uger siden, men har intet hørt. Dårlig app, og kundeservice. Meget dyrt (også for den tur jeg ren faktisk kørte). Ellers et godt koncept så ærgeligt der ødelægges af dårlige oplevelser."
"157","tier","Problemer for mig og mine venner                                                    Jeg trukket på 20 kr for en tur på 1 min, som jeg ikke engang selv har sat i gang. Jeg kontakted kundeservice og de gav mig en rabatkode. Mine venner har oplevet at de ikke kunne slutte turen. Det kostede dem 150kr hver."
"158","tier","Sikkerheden alt for dårlig                                                    App virker ikke som den skal eller min profil er hacket , kan hverken slette mit betalingskort eller gå i indstillinger (greyed out) har fået trukket 137 kr en nat kl 3 ikke et beløb eller tur jeg kender til . Henvendt mig til kundeservice der efter et par dage svare at det er 2 ture der er lagt sammen 🙄 men jeg har kørt 4-5 ture i alt til 20.50 kr pr stk så det passer ikke , hvilket jeg har gjort opmærksom på , men nu radiotavshed fra deres sidde . Jeg har spærret mit kort og kommer ALDRIG til at bruge tier igen."
"159","tier","Fremragende koncept - elendig levering                                                    Jeg deler samme håbløst dårlige oplevelse med Tier, som mange andre tilsyneladende gør. Flere episoder med løbehjul der ikke virker, efter man har betalt for opstart. Senest oplevede jeg, at jeg ikke kunne afslutte min tur, trods jeg befandt mig uden for de spærrede zoner. Jeg forsøgte gentagende gange at flytte mig - og lige meget hjalp det. Jeg endte med at bruge 20 minutter på at køre løbehjulet tør for strøm - først der lykkedes det at afslutte turen. 20 minutter, som jeg selvsagt kommer til at betale 30 kr. for. Det er jo indlysende, med deres ikke-eksisterende kunde service...Det bliver den sidste tur med Tier, der på ingen måde kan anbefales."
"160","tier","Jeg har haft flere problemer med Tier                                                    Jeg har haft flere problemer med Tier. Blandt andet begyndte deres løbehjul pludselig at køre baglæns imens jeg stod på det (27. april). Ja, du læste rigtigt. Baglæns. I dag har de så trukket 221,50 kr for en tur på 15-20 min hvor jeg efterfølgende ikke kunne logge ud. Jeg kontaktede dem på stedet (d. 1. maj) med tydeligt billede af hvor løbehjulet var parkeret. De vendte aldrig tilbage og har nu trukket penge."
"161","tier","Brug aldrig Tier Mobility                                                    Brug aldrig Tier Mobility - det er snyd og humbug. Mine drenge og jeg skulle prøve et løbehjul fra Tier her til eftermiddag. Efter ca. en 1/2 time ville vi tjekke ud/afslutte, men det kunne ikke lade sig gøre. Da mine kreditkortoplysninger er tilknyttet app'en og jeg ikke kunne afslutte lejemålet, har jeg valgt at spærre mit kreditkort.Efterfølgende har jeg så modtaget en besked fra Tier Mobilty, hvor de meddeler, at deres regning på 392,5 kr. for fire timers leje (!) ikke kan gå igennem. Jeg kan ikke advare nok imod Tier."
"162","tier","Løbehjulet virkede ikke                                                    Løbehjulet virkede ikke, hvilket først viste sig efter opstart og dermed betaling for brug. App'en viste rigelig strøm på batteriet."
"163","tier","Det sidste jeg havde brug for                                                    Har brugt TIER et par gange har aldrig oplevet noget lignende. Appen virker ikke og kan ikke slutte min kørsel. Deres “kundeservice” siger at der ikke er nogle ansatte der er ledige så det eneste jeg kunne gøre var at spærre mit kort. På appen kan jeg hverken finde andre løbehjul eller det løbehjul jeg har lejet. BRUG IKKE DENNE APP, BRUG ISTEDET VOI ELLER LIMEForfærdeligt firma, der er fuldstændigt ligeglade med deres kunder"
"164","tier","For dyrt.                                                    Appen virker ok og er nem at installere men... Der stod det kostede1,5 kr pr. minut men da jeg var færdig med turen havde jeg kørt ca. 3 km og ca.9 minutter det blev så lige 23,5 kr. (2,6 kr pr minut) Eller næsten det samme som havde jeg taget en greenmobility bil, det er sgu for dyrt for en lille tur på et løbehjul."
"165","tier","Total mangel på kunde support og vedligehold af scootere.                                                    Tanken bag produktet er fint. Men eksekvering er helt i bund. Over 50% af deres løbehjul er defekte, og man ved sjovt nok ikke om de virker før man har betalt for en tur. Så man betaler Per påbegyndt minut, så det koster 11,5 kr at låse én op. Når de så i over halvdelen af tilfældene ikke virker så er det penge lige ud af vinduet. Man har ikke mulighed for at refundere, da de ikke svarer på support mails, og man har ikke mulighed for at rapportere når et løbehjul er defekt. Et par gange er det oplevet at et løbehjul manglede. Vildt ærgerligt at der er så lidt support og vedligehold. Det kunne have været super fedt."
"166","tier","SKOD APP                                                    SKOD APP! Løbehjulene står ikke, hvor de burde gøre i følge appen. Ofte virker de ikke og kundeservice svare ikke på ens emails. Lad for guds skyld lad vær med at brug dem."
"167","tier","Ik i orden                                                    Fint produkt. Men de er umulige at kontakte når de har trukket uretmæssigt mange penge fra ens konto."
"168","tier","Jeg har betalt 16 kr for at prøve at få…                                                    Jeg har betalt 16 kr for at prøve at få det til at virke, hvor jeg til sidst måtte opgive. Jeg skrev til dem for 6 dage siden og de har stadig ikke svaret på min henvendelse."
"169","tier","PAS PÅ!                                                    PAS PÅ!! DE TØMMER DIN KONTO OG SVARE DIG IKKE.De trækker bare penge på dit kort når du står og bikser med at få løbehjulet til at virke. Nu har de gentagende gange trukket penge hvor jeg har stået og bøvlet med at få skidtet til at tænde og køre. for til sidat at måtte opgave!Jeg prøver at kontakte dem for at få mine penge tilbage men intet svar fra kundeservice andet end at præcis 20 min efter jeg har sendt en klagemail så har de blokeret min tier konto.. jeg var skide glad for konceptet men efter de har tømt min konto så bruger jeg dem aldrig igen! FØJ FOR EN SERVICE! Der bliver bestemt gjort indsigelse igennem min bank."
"170","tier","Snyd og humbug.                                                    Kan kun sige at man ikke skal hente denne app, for slet ikke at sige, forsøge at bruge den.Jeg valgte at skulle prøve et løbehjul, hentede appen og aktiverede et løbehjul det ikke virkede, det havde massere af strøm, men nogen havde placeret det udenfor område. Da jeg vil låse det og lade det stå nægter det at lade sig låse og jeg måtte (uden det virkede velogmærket) køre det til en st. Der var indenfor område og ikke på min vej, for at kunne låse det.Det kostede mig 30 kr. At køre på et løbehjul der ikke virkede og måtte en omvej for at komme af med det.Har skrevet en mail, men får ikke respons, min mand har haft samme oplevelse med et løbehjul der ikke virkede og kan kun anbefale man ikke hopper på den."
"171","tier","Jeg har downloaded appen og indtastet…                                                    Jeg har downloaded appen og indtastet mine betalingsinformationer og har på ingen måde anvendt den siden. Idag opdager jeg at der er reserveret et trukket beløb på 22,65kr ud af det blå. Det burde simpelthen ikke være muligt, da der ikke er beskrevet et såkaldt oprettelsesgebyr. Min bank kan se de er trukket i euro d. 01/03, fra Berlin og jeg har efterfølgende forsøgt at slette mine kontooplysninger fra appen, hvilket ikke har været muligt uden ny betalingstilknytning. Altså står jeg i en situation hvor der er trukket et beløb fra min konto fra appen, hvor jeg ikke har anvendt appen og jeg kan ydeligere ikke slette mine oplysninger (eller min konto derfra) fra Tier Mobility. Situationen er under alt kritik. Jeg har ydermere forsøgt at ringe, for direkte at møde en telefonsvarer og vil nu forsøge med en mail. Min eneste løsning er nu at tage chancen og håbe at der ikke mine kontooplysninger ikke bliver misbrugt ydeligere, eller helt at spærre mit kort og derved betale for at bestille et nyt kreditkort. Jeg anbefaler virkelig ikke at man downloader appen og taster personfølsomme informationer ind."
"172","fynbus","De afviser 8 måneder gammel baby                                                    De afviser at tage barnevogn med, og nægter at betale en taxa i stedet for. 8 måneder gammel baby skulle til sundhed tjek. Men kunne ikke komme med bussen, kundeservicen var simpelthen så ubehøvlet og nedladende."
"173","fynbus","Tag en taxa istedet.                                                    Generelt en elendig virksomhed. Svare ikke på mails og elendig service niveau. Godt man ikke er afhængig af dem i hverdagen."
